Word	product	level
553	Cytochrome c-553	2
554	Cytochrome c-554	2
555	Cytochrome c-555	2
556	Cytochrome c-556	2
7	Cold shock-like protein 7.0	2
7Fe	Ferredoxin 7Fe	2
800	Light-harvesting protein B-800-850 alpha chain A	2
808	Light-harvesting protein B-808/866 alpha chain	2
820	Light-harvesting protein B-800/820 beta-1 chain	2
850	Light-harvesting protein B-800-850 alpha chain A	2
866	Light-harvesting protein B-808/866 alpha chain	2
870	Light-harvesting protein B-870 alpha chain	2
875	Light-harvesting protein B-875 alpha chain	2
A53	Bacteriocin aureocin A53	1
AAA	Uncharacterized AAA domain-containing protein MT2636	1
AAC	Bifunctional AAC/APH	1
ABC	ABC transporter ATP-binding protein NatA	1
ACT	UPF0735 ACT domain-containing protein ABC1543	1
ACY	Acylase ACY 1	1
ADP	"ADP,ATP carrier protein 1"	1
AMP	Cyclic AMP receptor-like protein	1
APH	Bifunctional AAC/APH	1
ATP	ABC transporter ATP-binding protein NatA	1
Aas	Bifunctional protein Aas	1
Abh	Putative transition state regulator Abh	1
Ada	Bifunctional transcriptional activator/DNA repair enzyme Ada	1
Anr	Transcriptional activator protein Anr	1
B12	Vitamin B12 import ATP-binding protein BtuD	1
BM1	Bacteriocin carnobacteriocin BM1	1
BPN	Subtilisin BPN'	1
Blc	Outer membrane lipoprotein Blc	1
Blr	Divisome-associated membrane protein Blr	1
Btr	HTH-type transcriptional activator Btr	1
C5a	C5a peptidase	1
CBS	CBS domain-containing protein YhcV	1
CCA	CCA-adding enzyme	1
COP	COP-associated protein	1
CP4	Prophage CP4-57 regulatory protein AlpA	1
CTC	General stress protein CTC	1
CV1	Sulfur globule protein CV1	1
CV2	Sulfur globule protein CV2	1
CV3	Sulfur globule protein CV3	1
ClC	Voltage-gated ClC-type chloride channel ClcB	1
Cmr	CRISPR system Cmr subunit Cmr5	1
Crh	HPr-like protein Crh	1
Crl	Sigma factor-binding protein Crl	1
D3A	Fimbrial protein MS11-D3A	1
DFA	Inulin fructotransferase [DFA-I-forming]	1
