*sample_name	*sample_title	description	*organism	*taxonomy_id	bioproject_id	locus_tag_prefix	strain	breed	cultivar	isolate	label	biomaterial_provider	*collection_date	*env_biome	*env_feature	*env_material	*geo_loc_name	*lat_lon	*project_name	*isol_growth_condt	ref_biomaterial	*num_replicons	*estimated_size	*ploidy	*propagation	biotic_relationship	extrachrom_elements	health_disease_stat	host	host_spec_range	pathogenicity	samp_collect_device	samp_mat_process	sample_size	source_material_id	subspecf_gen_lin	trophic_level
A.MELLIFERA.TEX.130-4158	Apis mellifera. Texas. Individual name 130-4158		Apis mellifera	7460	PRJDB3873					130-4158			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.131-4159	Apis mellifera. Texas. Individual name 131-4159		Apis mellifera	7460	PRJDB3873					131-4159			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.132-4164	Apis mellifera. Texas. Individual name 132-4164		Apis mellifera	7460	PRJDB3873					132-4164			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.133-4156	Apis mellifera. Texas. Individual name 133-4156		Apis mellifera	7460	PRJDB3873					133-4156			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.133-4166	Apis mellifera. Texas. Individual name 133-4166		Apis mellifera	7460	PRJDB3873					133-4166			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.134-4173	Apis mellifera. Texas. Individual name 134-4173		Apis mellifera	7460	PRJDB3873					134-4173			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.135-4150	Apis mellifera. Texas. Individual name 135-4150		Apis mellifera	7460	PRJDB3873					135-4150			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.136-4152	Apis mellifera. Texas. Individual name 136-4152		Apis mellifera	7460	PRJDB3873					136-4152			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.138-4167	Apis mellifera. Texas. Individual name 138-4167		Apis mellifera	7460	PRJDB3873					138-4167			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
A.MELLIFERA.TEX.139-4168	Apis mellifera. Texas. Individual name 139-4168		Apis mellifera	7460	PRJDB3873					139-4168			1995	not applicable	not applicable	not applicable	USA: Texas	28.12 N 97.4 W	Hybridization between bees of African and US populations	not applicable		not applicable	not applicable	diploid	not applicable												
